fecha,producto,provincia,precio_ars_litro
2024-01-15,Nafta Super,Buenos Aires,892.5
2024-01-15,Nafta Super,Córdoba,905.0
2024-01-15,Nafta Super,Mendoza,918.2
2024-01-15,Gasoil Grado 2,Buenos Aires,845.0
2024-01-15,Gasoil Grado 2,Santa Fe,851.3
2024-02-15,Nafta Super,Buenos Aires,901.0
2024-02-15,Nafta Super,Córdoba,912.5
2024-02-15,Nafta Super,Mendoza,925.0
2024-02-15,Gasoil Grado 2,Buenos Aires,852.0
2024-02-15,Gasoil Grado 2,Santa Fe,858.0
2024-03-15,Nafta Super,Buenos Aires,908.5
2024-03-15,Nafta Super,Córdoba,920.0
2024-03-15,Nafta Super,Mendoza,932.5
2024-03-15,Gasoil Grado 2,Buenos Aires,860.0
2024-03-15,Gasoil Grado 2,Santa Fe,865.5
2024-06-15,Nafta Super,Buenos Aires,925.0
2024-06-15,Nafta Super,Córdoba,938.0
2024-06-15,Nafta Super,Mendoza,948.5
2024-06-15,Gasoil Grado 2,Buenos Aires,878.0
2024-06-15,Gasoil Grado 2,Santa Fe,884.0
2024-09-15,Nafta Super,Buenos Aires,940.0
2024-09-15,Nafta Super,Córdoba,952.0
2024-09-15,Nafta Super,Mendoza,961.0
2024-09-15,Gasoil Grado 2,Buenos Aires,892.0
2024-09-15,Gasoil Grado 2,Santa Fe,898.5
2024-12-15,Nafta Super,Buenos Aires,955.0
2024-12-15,Nafta Super,Córdoba,968.0
2024-12-15,Nafta Super,Mendoza,975.5
2024-12-15,Gasoil Grado 2,Buenos Aires,905.0
2024-12-15,Gasoil Grado 2,Santa Fe,911.0
