mes,producto,precio_promedio_ars
2024-01-01,Gasoil Grado 2,857.19
2024-01-01,Nafta Premium,960.83
2024-01-01,Nafta Super,906.69
2024-02-01,Gasoil Grado 2,861.03
2024-02-01,Nafta Premium,963.95
2024-02-01,Nafta Super,910.26
2024-03-01,Gasoil Grado 2,865.74
2024-03-01,Nafta Premium,968.64
2024-03-01,Nafta Super,914.36
2024-04-01,Gasoil Grado 2,878.04
2024-04-01,Nafta Premium,972.44
2024-04-01,Nafta Super,918.19
2024-05-01,Gasoil Grado 2,881.16
2024-05-01,Nafta Premium,976.86
2024-05-01,Nafta Super,922.88
2024-06-01,Gasoil Grado 2,886.41
2024-06-01,Nafta Premium,981.06
2024-06-01,Nafta Super,926.31
2024-07-01,Gasoil Grado 2,889.79
2024-07-01,Nafta Premium,985.21
2024-07-01,Nafta Super,929.71
2024-08-01,Gasoil Grado 2,887.15
2024-08-01,Nafta Premium,990.0
2024-08-01,Nafta Super,933.6
2024-09-01,Gasoil Grado 2,890.76
2024-09-01,Nafta Premium,993.53
2024-09-01,Nafta Super,938.85
2024-10-01,Gasoil Grado 2,893.91
2024-10-01,Nafta Premium,998.46
2024-10-01,Nafta Super,942.14
2024-11-01,Gasoil Grado 2,899.24
2024-11-01,Nafta Premium,1001.89
2024-11-01,Nafta Super,947.81
2024-12-01,Gasoil Grado 2,902.95
2024-12-01,Nafta Premium,1006.78
2024-12-01,Nafta Super,950.88
2025-01-01,Gasoil Grado 2,907.28
2025-01-01,Nafta Premium,1011.05
2025-01-01,Nafta Super,954.76
2025-02-01,Gasoil Grado 2,910.69
2025-02-01,Nafta Premium,1015.68
2025-02-01,Nafta Super,959.75
2025-03-01,Gasoil Grado 2,916.31
2025-03-01,Nafta Premium,1019.39
2025-03-01,Nafta Super,964.6
2025-04-01,Gasoil Grado 2,927.48
2025-04-01,Nafta Premium,1023.15
2025-04-01,Nafta Super,969.18
2025-05-01,Gasoil Grado 2,932.35
2025-05-01,Nafta Premium,1027.01
2025-05-01,Nafta Super,972.05
2025-06-01,Gasoil Grado 2,937.1
2025-06-01,Nafta Premium,1030.76
2025-06-01,Nafta Super,976.31
2025-07-01,Gasoil Grado 2,940.39
2025-07-01,Nafta Premium,1035.8
2025-07-01,Nafta Super,980.3
2025-08-01,Gasoil Grado 2,936.9
2025-08-01,Nafta Premium,1039.15
2025-08-01,Nafta Super,985.49
2025-09-01,Gasoil Grado 2,940.94
2025-09-01,Nafta Premium,1042.54
2025-09-01,Nafta Super,987.83
