producto,trimestre,precio_promedio,variacion_pct_vs_trimestre_anterior
Gasoil Grado 2,2024-04-01,881.87,2.39
Gasoil Grado 2,2024-07-01,889.23,0.83
Gasoil Grado 2,2024-10-01,898.7,1.06
Gasoil Grado 2,2025-01-01,911.43,1.42
Gasoil Grado 2,2025-04-01,932.31,2.29
Gasoil Grado 2,2025-07-01,939.41,0.76
Nafta Premium,2024-04-01,976.79,1.28
Nafta Premium,2024-07-01,989.58,1.31
Nafta Premium,2024-10-01,1002.38,1.29
Nafta Premium,2025-01-01,1015.37,1.3
Nafta Premium,2025-04-01,1026.98,1.14
Nafta Premium,2025-07-01,1039.16,1.19
Nafta Super,2024-04-01,922.46,1.32
Nafta Super,2024-07-01,934.05,1.26
Nafta Super,2024-10-01,946.94,1.38
Nafta Super,2025-01-01,959.7,1.35
Nafta Super,2025-04-01,972.51,1.33
Nafta Super,2025-07-01,984.54,1.24
