producto,provincia,precio_promedio_ultimo_mes
Gasoil Grado 2,Chubut,952.0
Gasoil Grado 2,Salta,948.8
Gasoil Grado 2,Mendoza,947.6
Gasoil Grado 2,Neuquén,942.6
Gasoil Grado 2,Tucumán,940.3
Gasoil Grado 2,Córdoba,936.2
Gasoil Grado 2,Santa Fe,935.4
Gasoil Grado 2,Buenos Aires,924.6
Nafta Premium,Chubut,1052.6
Nafta Premium,Salta,1051.1
Nafta Premium,Mendoza,1050.0
Nafta Premium,Neuquén,1044.9
Nafta Premium,Tucumán,1042.2
Nafta Premium,Córdoba,1038.5
Nafta Premium,Santa Fe,1034.5
Nafta Premium,Buenos Aires,1026.5
Nafta Super,Chubut,999.0
Nafta Super,Mendoza,993.2
Nafta Super,Salta,991.5
Nafta Super,Neuquén,991.3
Nafta Super,Tucumán,987.2
Nafta Super,Córdoba,985.0
Nafta Super,Santa Fe,982.4
Nafta Super,Buenos Aires,973.0
